epoch78, t_loss: 0.011838, v_loss: 0.028660, best_epoch 52: 0.021176
epoch79, t_loss: 0.011824, v_loss: 0.058549, best_epoch 52: 0.021176
epoch80, t_loss: 0.011816, v_loss: 0.026653, best_epoch 52: 0.021176
epoch81, t_loss: 0.011712, v_loss: 0.047660, best_epoch 52: 0.021176
epoch82, t_loss: 0.011877, v_loss: 0.024967, best_epoch 52: 0.021176
epoch83, t_loss: 0.011737, v_loss: 0.022441, best_epoch 52: 0.021176
epoch84, t_loss: 0.011690, v_loss: 0.022445, best_epoch 52: 0.021176
epoch85, t_loss: 0.011624, v_loss: 0.023748, best_epoch 52: 0.021176
epoch86, t_loss: 0.011577, v_loss: 0.030475, best_epoch 52: 0.021176
epoch87, t_loss: 0.011565, v_loss: 0.029218, best_epoch 52: 0.021176
epoch88, t_loss: 0.011489, v_loss: 0.027643, best_epoch 52: 0.021176
epoch89, t_loss: 0.011487, v_loss: 0.024257, best_epoch 52: 0.021176
epoch90, t_loss: 0.011501, v_loss: 0.051222, best_epoch 52: 0.021176
epoch91, t_loss: 0.011401, v_loss: 0.025243, best_epoch 52: 0.021176
epoch92, t_loss: 0.011375, v_loss: 0.023215, best_epoch 52: 0.021176
epoch93, t_loss: 0.011402, v_loss: 0.026848, best_epoch 52: 0.021176
epoch94, t_loss: 0.011390, v_loss: 0.024078, best_epoch 52: 0.021176
epoch95, t_loss: 0.011271, v_loss: 0.021802, best_epoch 52: 0.021176
epoch96, t_loss: 0.011262, v_loss: 0.023701, best_epoch 52: 0.021176
epoch97, t_loss: 0.011229, v_loss: 0.024570, best_epoch 52: 0.021176
epoch98, t_loss: 0.011197, v_loss: 0.023617, best_epoch 52: 0.021176
epoch99, t_loss: 0.011168, v_loss: 0.029891, best_epoch 52: 0.021176
epoch100, t_loss: 0.011169, v_loss: 0.031368, best_epoch 52: 0.021176
epoch101, t_loss: 0.011148, v_loss: 0.029237, best_epoch 52: 0.021176
epoch102, t_loss: 0.011096, v_loss: 0.023148, best_epoch 52: 0.021176
epoch103, t_loss: 0.011132, v_loss: 0.025384, best_epoch 52: 0.021176
epoch104, t_loss: 0.011042, v_loss: 0.027641, best_epoch 52: 0.021176
epoch105, t_loss: 0.011044, v_loss: 0.048481, best_epoch 52: 0.021176
epoch106, t_loss: 0.011013, v_loss: 0.032626, best_epoch 52: 0.021176
epoch107, t_loss: 0.011018, v_loss: 0.042592, best_epoch 52: 0.021176
epoch108, t_loss: 0.010960, v_loss: 0.048567, best_epoch 52: 0.021176
epoch109, t_loss: 0.010947, v_loss: 0.023753, best_epoch 52: 0.021176
epoch110, t_loss: 0.010995, v_loss: 0.041492, best_epoch 52: 0.021176
epoch111, t_loss: 0.010901, v_loss: 0.025798, best_epoch 52: 0.021176
epoch112, t_loss: 0.010827, v_loss: 0.040547, best_epoch 52: 0.021176
epoch113, t_loss: 0.010832, v_loss: 0.044287, best_epoch 52: 0.021176
epoch114, t_loss: 0.010835, v_loss: 0.035111, best_epoch 52: 0.021176
epoch115, t_loss: 0.010800, v_loss: 0.031374, best_epoch 52: 0.021176
epoch116, t_loss: 0.010846, v_loss: 0.027710, best_epoch 52: 0.021176
epoch117, t_loss: 0.010721, v_loss: 0.027776, best_epoch 52: 0.021176
epoch118, t_loss: 0.010741, v_loss: 0.031572, best_epoch 52: 0.021176
epoch119, t_loss: 0.010678, v_loss: 0.024022, best_epoch 52: 0.021176
epoch120, t_loss: 0.010743, v_loss: 0.022404, best_epoch 52: 0.021176
